setting,model,n,asymmetry,ci_low,ci_high
GSM8K,Qwen2-VL-2B-Instruct,1319,1.106759031613668,1.031476457913717,1.1907533407211304
SVAMP,Qwen2-VL-2B-Instruct,300,1.3846868829180798,1.165039936080575,1.6503966202338534
ChartQA-Conflict,Qwen2-VL-2B-Instruct,229,-1.2212352034985088,-1.4396238930290564,-0.9528003222852326
GSM8K,Qwen2.5-VL-7B-Instruct,1319,0.059486329555511475,0.0,0.18119722704092678
SVAMP,Qwen2.5-VL-7B-Instruct,300,-0.7313209028798155,-1.1032139857610064,-0.021868486267825116
ChartQA-Conflict,Qwen2.5-VL-7B-Instruct,229,-1.361477971891873,-1.5276755094528198,-1.1898694502706348
GSM8K,Idefics3-8B-Llama3,1319,3.876830577850342,3.539765626192093,4.249999523162842
SVAMP,Idefics3-8B-Llama3,300,5.99999956501415,5.499999686493538,6.500000238418579
ChartQA-Conflict,Idefics3-8B-Llama3,229,-2.1750966639991134,-3.0325046634385826,-1.5071183655224445
GSM8K,llava-onevision-qwen2-7b-ov-hf,1319,1.9497753381729122,1.8291180034478505,2.0988218784332275
SVAMP,llava-onevision-qwen2-7b-ov-hf,300,3.524164880315463,3.139044660143554,3.8687164572378006
ChartQA-Conflict,llava-onevision-qwen2-7b-ov-hf,229,-1.155573345720768,-1.3590390575118358,-0.7804493010044096
GSM8K,llava-v1.6-mistral-7b-hf,1319,0.616081178188324,0.5312501788139343,0.6696686744689941
SVAMP,llava-v1.6-mistral-7b-hf,300,1.2336158454418182,0.9042358666658402,1.5188579747453335
ChartQA-Conflict,llava-v1.6-mistral-7b-hf,229,-0.28022537007927895,-0.4426762798684649,-0.13296915808071752
GSM8K,Phi-3.5-vision-instruct,1319,1.3104235976934433,1.1839613815148669,1.3898348261912665
SVAMP,Phi-3.5-vision-instruct,300,3.5477345342321014,2.939562233630568,4.082982961088419
ChartQA-Conflict,Phi-3.5-vision-instruct,229,-0.9624756521040281,-1.2101600759445619,-0.5576039483305064
