benchmark	model	n	b_image	b_text	difference	95% CI
gsm8k	Qwen2.5-VL-7B	1319	+1.8723	+0.8796	-0.9928	[-1.1492,-0.7854]
gsm8k	Qwen2-VL-2B	1319	+0.1305	+0.9571	+0.8266	[+0.7480,+0.8986]
gsm8k	Idefics3-8B	1319	+0.7309	+4.1004	+3.3694	[+3.0103,+3.6030]
gsm8k	Phi-3.5	1319	+0.0643	+1.1436	+1.0792	[+0.9892,+1.1605]
gsm8k	LLaVA-OV-7B	1319	+0.0209	+1.6481	+1.6271	[+1.5031,+1.7219]
gsm8k	LLaVA-1.6-7B	1319	+0.0063	+0.5697	+0.5635	[+0.4998,+0.6226]
svamp	Qwen2.5-VL-7B	300	+2.9810	+2.2791	-0.7019	[-1.3519,-0.2497]
svamp	Qwen2-VL-2B	300	+0.4847	+1.7551	+1.2704	[+0.9250,+1.5306]
svamp	Idefics3-8B	300	+1.6493	+7.3485	+5.6992	[+5.1273,+6.7274]
svamp	Phi-3.5	300	+0.0176	+3.3119	+3.2942	[+2.8284,+3.7985]
svamp	LLaVA-OV-7B	300	+0.0714	+3.3403	+3.2689	[+2.9229,+3.7054]
svamp	LLaVA-1.6-7B	300	+0.1973	+1.3052	+1.1078	[+0.9007,+1.3898]
chartqa	Qwen2.5-VL-7B	229	+3.1391	+1.9834	-1.1557	[-1.3297,-0.8091]
chartqa	Qwen2-VL-2B	229	+2.8889	+1.6388	-1.2500	[-1.4404,-0.9961]
chartqa	Idefics3-8B	229	+7.2154	+4.6314	-2.5840	[-3.7150,-1.6683]
chartqa	Phi-3.5	EXCLUDED (L0 accuracy below 0.10: image=0.0087)
chartqa	LLaVA-OV-7B	229	+2.6365	+1.5713	-1.0651	[-1.3330,-0.7352]
chartqa	LLaVA-1.6-7B	229	+1.8946	+1.5059	-0.3886	[-0.5686,-0.2433]

Saved reproduced\appendix\calibrated_slopes.json
