scope	agree	n	rate	Wilson 95% CI
gsm8k/Idefics3-8B-Llama3/image_degradation	3109	3695	0.8414	[0.8293,0.8528]
gsm8k/Idefics3-8B-Llama3/text_degradation	1596	2069	0.7714	[0.7528,0.7890]
gsm8k/Phi-3.5-vision-instruct/image_degradation	784	959	0.8175	[0.7918,0.8407]
gsm8k/Phi-3.5-vision-instruct/text_degradation	543	741	0.7328	[0.6998,0.7634]
gsm8k/Qwen2-VL-2B-Instruct/image_degradation	906	1329	0.6817	[0.6562,0.7062]
gsm8k/Qwen2-VL-2B-Instruct/text_degradation	724	1283	0.5643	[0.5370,0.5912]
gsm8k/Qwen2.5-VL-7B-Instruct/image_degradation	1719	2931	0.5865	[0.5686,0.6042]
gsm8k/Qwen2.5-VL-7B-Instruct/text_degradation	1979	2934	0.6745	[0.6573,0.6912]
gsm8k/llava-onevision-qwen2-7b-ov-hf/image_degradation	2693	3154	0.8538	[0.8411,0.8657]
gsm8k/llava-onevision-qwen2-7b-ov-hf/text_degradation	1623	2211	0.7341	[0.7152,0.7521]
gsm8k/llava-v1.6-mistral-7b-hf/image_degradation	1240	1667	0.7439	[0.7224,0.7642]
gsm8k/llava-v1.6-mistral-7b-hf/text_degradation	493	709	0.6953	[0.6605,0.7281]
svamp/Idefics3-8B-Llama3/image_degradation	899	961	0.9355	[0.9182,0.9493]
svamp/Idefics3-8B-Llama3/text_degradation	437	534	0.8184	[0.7834,0.8487]
svamp/Phi-3.5-vision-instruct/image_degradation	484	528	0.9167	[0.8900,0.9373]
svamp/Phi-3.5-vision-instruct/text_degradation	277	358	0.7737	[0.7276,0.8140]
svamp/Qwen2-VL-2B-Instruct/image_degradation	498	605	0.8231	[0.7907,0.8515]
svamp/Qwen2-VL-2B-Instruct/text_degradation	285	438	0.6507	[0.6049,0.6938]
svamp/Qwen2.5-VL-7B-Instruct/image_degradation	717	962	0.7453	[0.7169,0.7718]
svamp/Qwen2.5-VL-7B-Instruct/text_degradation	716	981	0.7299	[0.7012,0.7567]
svamp/llava-onevision-qwen2-7b-ov-hf/image_degradation	754	846	0.8913	[0.8685,0.9105]
svamp/llava-onevision-qwen2-7b-ov-hf/text_degradation	459	561	0.8182	[0.7841,0.8479]
svamp/llava-v1.6-mistral-7b-hf/image_degradation	581	664	0.8750	[0.8477,0.8980]
svamp/llava-v1.6-mistral-7b-hf/text_degradation	226	280	0.8071	[0.7569,0.8491]
MODEL_POOLED/Idefics3-8B-Llama3/image_degradation	4008	4656	0.8608	[0.8506,0.8705]
MODEL_POOLED/Idefics3-8B-Llama3/text_degradation	2033	2603	0.7810	[0.7647,0.7965]
MODEL_POOLED/Phi-3.5-vision-instruct/image_degradation	1268	1487	0.8527	[0.8338,0.8698]
MODEL_POOLED/Phi-3.5-vision-instruct/text_degradation	820	1099	0.7461	[0.7196,0.7710]
MODEL_POOLED/Qwen2-VL-2B-Instruct/image_degradation	1404	1934	0.7260	[0.7056,0.7454]
MODEL_POOLED/Qwen2-VL-2B-Instruct/text_degradation	1009	1721	0.5863	[0.5629,0.6093]
MODEL_POOLED/Qwen2.5-VL-7B-Instruct/image_degradation	2436	3893	0.6257	[0.6104,0.6408]
MODEL_POOLED/Qwen2.5-VL-7B-Instruct/text_degradation	2695	3915	0.6884	[0.6737,0.7027]
MODEL_POOLED/llava-onevision-qwen2-7b-ov-hf/image_degradation	3447	4000	0.8618	[0.8507,0.8721]
MODEL_POOLED/llava-onevision-qwen2-7b-ov-hf/text_degradation	2082	2772	0.7511	[0.7346,0.7668]
MODEL_POOLED/llava-v1.6-mistral-7b-hf/image_degradation	1821	2331	0.7812	[0.7640,0.7975]
MODEL_POOLED/llava-v1.6-mistral-7b-hf/text_degradation	719	989	0.7270	[0.6984,0.7538]
POOLED/image_degradation	14384	18301	0.7860	[0.7800,0.7918]
POOLED/text_degradation	9358	13099	0.7144	[0.7066,0.7221]
POOLED/both_arms_L0_deduplicated	20281	26893	0.7541	[0.7490,0.7592]
CLUSTER_BOOTSTRAP/image_degradation	NA	NA	NA	[0.7738,0.7979]
CLUSTER_BOOTSTRAP/text_degradation	NA	NA	NA	[0.7036,0.7251]
CLUSTER_BOOTSTRAP/both_arms_L0_deduplicated	NA	NA	NA	[0.7443,0.7640]
NOTE/shared_L0_generation_disagreements	5	NA	NA	NA
