framing	model	alpha	n	R_image	R_text	asymmetry	95% CI	Wilcoxon p
original	Qwen2-VL-2B-Instruct	0	1319	+0.1281	+2.2887	+2.1715	[+1.9557,+2.3160]	1.58e-130
original	Qwen2-VL-2B-Instruct	0.5	1319	+0.0931	+1.4991	+1.3750	[+1.2500,+1.4900]	4.81e-127
original	Qwen2-VL-2B-Instruct	1	1319	+0.0625	+0.9463	+0.8633	[+0.7599,+0.9526]	1.07e-117
original	Qwen2.5-VL-7B-Instruct	0	1319	+1.1470	+3.3750	+1.8610	[+1.6690,+2.0995]	1.5e-81
original	Qwen2.5-VL-7B-Instruct	0.5	1319	+0.7526	+2.1928	+1.2374	[+1.0816,+1.3683]	9.01e-77
original	Qwen2.5-VL-7B-Instruct	1	1319	+0.4945	+1.4375	+0.8125	[+0.6967,+0.8924]	1.33e-68
original	Idefics3-8B-Llama3	0	1319	+0.9375	+5.8750	+4.6762	[+4.2500,+5.1250]	8.01e-117
original	Idefics3-8B-Llama3	0.5	1319	+0.8750	+5.6250	+4.5625	[+4.1875,+5.0000]	4.54e-114
original	Idefics3-8B-Llama3	1	1319	+0.8642	+5.3750	+4.4375	[+4.0313,+4.8167]	1.23e-110
original	llava-onevision-qwen2-7b-ov-hf	0	1319	+0.0260	+3.9388	+3.9542	[+3.6698,+4.2416]	1.42e-181
original	llava-onevision-qwen2-7b-ov-hf	0.5	1319	+0.0085	+2.4784	+2.5131	[+2.2958,+2.6830]	3.04e-178
original	llava-onevision-qwen2-7b-ov-hf	1	1319	+0.0000	+1.5834	+1.5962	[+1.4456,+1.7187]	1.2e-169
original	llava-v1.6-mistral-7b-hf	0	INCOMPLETE
original	llava-v1.6-mistral-7b-hf	0.5	INCOMPLETE
original	llava-v1.6-mistral-7b-hf	1	INCOMPLETE
original	Phi-3.5-vision-instruct	0	1319	-0.1062	+3.2714	+3.4117	[+3.1502,+3.6702]	7.37e-145
original	Phi-3.5-vision-instruct	0.5	1319	-0.0660	+2.0539	+2.1433	[+1.9887,+2.3438]	2.93e-137
original	Phi-3.5-vision-instruct	1	1319	-0.0454	+1.3213	+1.3750	[+1.2751,+1.4865]	4.45e-123
neutral	Qwen2-VL-2B-Instruct	0	1319	+0.1292	+2.9180	+2.6478	[+2.4116,+2.8631]	1.6e-161
neutral	Qwen2-VL-2B-Instruct	0.5	1319	+0.1012	+1.8721	+1.7230	[+1.5910,+1.8493]	7.65e-158
neutral	Qwen2-VL-2B-Instruct	1	1319	+0.0631	+1.1930	+1.1068	[+1.0315,+1.1936]	4.06e-149
neutral	Qwen2.5-VL-7B-Instruct	0	1319	+1.9916	+2.3339	+0.1092	[-0.0082,+0.3503]	0.000632
neutral	Qwen2.5-VL-7B-Instruct	0.5	1319	+1.3146	+1.5478	+0.0526	[-0.0047,+0.2197]	0.000689
neutral	Qwen2.5-VL-7B-Instruct	1	1319	+0.8550	+1.0133	+0.0595	[+0.0000,+0.1812]	0.00101
neutral	Idefics3-8B-Llama3	0	1319	+0.8750	+5.2500	+4.2500	[+3.9375,+4.6250]	2.62e-159
neutral	Idefics3-8B-Llama3	0.5	1319	+0.8125	+5.0000	+4.0625	[+3.7500,+4.4375]	1.88e-158
neutral	Idefics3-8B-Llama3	1	1319	+0.7500	+4.8438	+3.8768	[+3.5398,+4.2500]	3.01e-156
neutral	llava-onevision-qwen2-7b-ov-hf	0	1319	+0.0856	+4.9761	+4.9693	[+4.6315,+5.1935]	5.54e-189
neutral	llava-onevision-qwen2-7b-ov-hf	0.5	1319	+0.0413	+3.1465	+3.1828	[+2.9919,+3.3501]	5.44e-187
neutral	llava-onevision-qwen2-7b-ov-hf	1	1319	+0.0218	+1.9824	+1.9498	[+1.8266,+2.0872]	2.2e-180
neutral	llava-v1.6-mistral-7b-hf	0	1319	+0.0315	+1.6239	+1.4318	[+1.2851,+1.5787]	2.07e-100
neutral	llava-v1.6-mistral-7b-hf	0.5	1319	+0.0177	+1.0588	+0.9281	[+0.8372,+1.0153]	4.75e-94
neutral	llava-v1.6-mistral-7b-hf	1	1319	+0.0062	+0.6451	+0.6161	[+0.5313,+0.6701]	8.97e-82
neutral	Phi-3.5-vision-instruct	0	1319	+0.1457	+3.5476	+3.1717	[+2.9712,+3.4091]	1.8e-159
neutral	Phi-3.5-vision-instruct	0.5	1319	+0.1008	+2.2393	+2.0720	[+1.8639,+2.2097]	1.26e-152
neutral	Phi-3.5-vision-instruct	1	1319	+0.0636	+1.4029	+1.3104	[+1.1811,+1.3925]	1.72e-138
