model	n	original	neutral	neutral-original	95% CI	Wilcoxon p
Qwen2-VL-2B-Instruct	1319	+0.8633	+1.1068	+0.1903	[+0.1250,+0.2500]	9.02e-16
Qwen2.5-VL-7B-Instruct	1319	+0.8125	+0.0595	-0.3750	[-0.4751,-0.2895]	1.9e-27
Idefics3-8B-Llama3	1319	+4.4375	+3.8768	-0.2810	[-0.6250,+0.0000]	0.000239
llava-onevision-qwen2-7b-ov-hf	1319	+1.5962	+1.9498	+0.2145	[+0.1552,+0.2588]	3.56e-26
Phi-3.5-vision-instruct	1319	+1.3750	+1.3104	+0.0000	[-0.0851,+0.0407]	0.112

RAW BEHAVIORAL ENDPOINTS (descriptive; preference among decidable trials)
model	framing	R_image	R_text	asymmetry
Qwen2-VL-2B-Instruct	original	-0.0140	+0.9160	+0.9300
Qwen2-VL-2B-Instruct	neutral	+0.1873	+0.7291	+0.5418
Qwen2.5-VL-7B-Instruct	original	+0.0080	+0.9240	+0.9160
Qwen2.5-VL-7B-Instruct	neutral	+0.2909	+0.2930	+0.0021
Idefics3-8B-Llama3	original	+0.0007	+0.7441	+0.7434
Idefics3-8B-Llama3	neutral	-0.0021	+0.9440	+0.9460
llava-onevision-qwen2-7b-ov-hf	original	-0.0037	+0.7809	+0.7847
llava-onevision-qwen2-7b-ov-hf	neutral	+0.0177	+0.9550	+0.9373
Phi-3.5-vision-instruct	original	+0.0070	+0.5648	+0.5578
Phi-3.5-vision-instruct	neutral	+0.0696	+0.8723	+0.8027
